Site,Latitude,Longitude
284,58.0,-1.25
285,58.0,-0.625
286,58.0,-5.920304394294029e-13
287,58.0,0.625
288,58.0,1.25
289,58.0,1.875
290,58.5,-8.125
291,58.5,-7.5
292,58.5,-6.875
293,58.5,-6.25
294,58.5,-5.625
295,58.5,-5.0
296,58.5,-4.375
297,58.5,-3.75
298,58.5,-3.125
299,58.5,-2.5
300,58.5,-1.875
301,58.5,-1.25
302,58.5,-0.625
303,58.5,-5.920304394294029e-13
304,58.5,0.625
305,58.5,1.25
306,58.5,1.875
307,59.0,-8.125
308,59.0,-7.5
309,59.0,-6.875
310,59.0,-6.25
311,59.0,-5.625
312,59.0,-5.0
313,59.0,-4.375
314,59.0,-3.75
315,59.0,-3.125
316,59.0,-2.5
317,59.0,-1.875
318,59.0,-1.25
319,59.0,-0.625
320,59.0,-5.920304394294029e-13
321,59.0,0.625
322,59.0,1.25
323,59.0,1.875
