Date,Consumption (MWh)
2016-05-19 00:00:00,1991532593.0
2016-05-20 00:00:00,1778471958.0
2016-05-21 00:00:00,1805563222.0
2016-05-22 00:00:00,1790199705.0
2016-05-23 00:00:00,1898855036.0
2016-05-24 00:00:00,1868360955.0
2016-05-25 00:00:00,2024229957.0
2016-05-26 00:00:00,1834423357.0
2016-05-27 00:00:00,1692374128.0
2016-05-28 00:00:00,1382999432.0
2016-05-29 00:00:00,1459535675.0
2016-05-30 00:00:00,1619138405.0
2016-05-31 00:00:00,1624482510.0
2016-06-01 00:00:00,1827702163.0
2016-06-02 00:00:00,1863462436.0
2016-06-03 00:00:00,1865433256.0
2016-06-04 00:00:00,1686725811.0
2016-06-05 00:00:00,1567789716.0
2016-06-06 00:00:00,1676698586.0
2016-06-07 00:00:00,1730910076.0
2016-06-08 00:00:00,1764939187.0
2016-06-09 00:00:00,1747629256.0
2016-06-10 00:00:00,1644382862.0
2016-06-11 00:00:00,1765988611.0
2016-06-12 00:00:00,1844404401.0
2016-06-13 00:00:00,2017333473.0
2016-06-14 00:00:00,2021543351.0
2016-06-15 00:00:00,2017801705.0
2016-06-16 00:00:00,1992525995.0
2016-06-17 00:00:00,2084165385.0
2016-06-18 00:00:00,2030370568.0
2016-06-19 00:00:00,1938469256.0
2016-06-20 00:00:00,1823032266.0
2016-06-21 00:00:00,1817104656.0
2016-06-22 00:00:00,1665200802.0
2016-06-23 00:00:00,1481298437.0
2016-06-24 00:00:00,1550275783.0
2016-06-25 00:00:00,1540426432.0
2016-06-26 00:00:00,1552703118.0
2016-06-27 00:00:00,1661428219.0
2016-06-28 00:00:00,1635919921.0
2016-06-29 00:00:00,1678119327.0
2016-06-30 00:00:00,1550444692.0
2016-07-01 00:00:00,1551472386.0
2016-07-02 00:00:00,1602196533.0
2016-07-03 00:00:00,1625952726.0
2016-07-04 00:00:00,1604672848.0
2016-07-05 00:00:00,1522058228.0
2016-07-06 00:00:00,1495708247.0
2016-07-07 00:00:00,1492895468.0
2016-07-08 00:00:00,1455968984.0
2016-07-09 00:00:00,1518762007.0
2016-07-10 00:00:00,1451462558.0
2016-07-11 00:00:00,1459056867.0
2016-07-12 00:00:00,1512035926.0
2016-07-13 00:00:00,1522577996.0
2016-07-14 00:00:00,1514775125.0
2016-07-15 00:00:00,1464950142.0
2016-07-16 00:00:00,1390949469.0
2016-07-17 00:00:00,1373268095.0
2016-07-18 00:00:00,1412273956.0
2016-07-19 00:00:00,1329415602.0
2016-07-20 00:00:00,1369540504.0
2016-07-21 00:00:00,1407722761.0
2016-07-22 00:00:00,1392099634.0
2016-07-23 00:00:00,1424681040.0
2016-07-24 00:00:00,1494231347.0
2016-07-25 00:00:00,1341638243.0
2016-07-26 00:00:00,1434333823.0
2016-07-27 00:00:00,1441752289.0
2016-07-28 00:00:00,1579004974.0
2016-07-29 00:00:00,1407297025.0
2016-07-30 00:00:00,1515589867.0
2016-07-31 00:00:00,1356787798.0
2016-08-01 00:00:00,1451305423.0
2016-08-02 00:00:00,1390669661.0
2016-08-03 00:00:00,1203048965.0
2016-08-04 00:00:00,1282124682.0
2016-08-05 00:00:00,1345315353.0
2016-08-06 00:00:00,1124685141.0
2016-08-07 00:00:00,1089455598.0
2016-08-08 00:00:00,1167050265.0
2016-08-09 00:00:00,1306447317.0
2016-08-10 00:00:00,1393656357.0
2016-08-11 00:00:00,1244023610.0
2016-08-12 00:00:00,1256412188.0
2016-08-13 00:00:00,1369337998.0
2016-08-14 00:00:00,1366785999.0
2016-08-15 00:00:00,1323062954.0
2016-08-16 00:00:00,1296164278.0
2016-08-17 00:00:00,1298079223.0
2016-08-18 00:00:00,1324512326.0
2016-08-19 00:00:00,1280821686.0
2016-08-20 00:00:00,1152714665.0
2016-08-21 00:00:00,1246542740.0
2016-08-22 00:00:00,1364856750.0
2016-08-23 00:00:00,1396646311.0
2016-08-24 00:00:00,1421490172.0
2016-08-25 00:00:00,1477076192.0
2016-08-26 00:00:00,1403508088.0
2016-08-27 00:00:00,1238930593.0
2016-08-28 00:00:00,1235617580.0
2016-08-29 00:00:00,1387858609.0
2016-08-30 00:00:00,1402064984.0
2016-08-31 00:00:00,1355700125.0
2016-09-01 00:00:00,1377966178.0
2016-09-02 00:00:00,1492646851.0
2016-09-03 00:00:00,1303162649.0
2016-09-04 00:00:00,1293890526.0
2016-09-05 00:00:00,1446222777.0
2016-09-06 00:00:00,1454153501.0
2016-09-07 00:00:00,1482026814.0
2016-09-08 00:00:00,1537133274.0
2016-09-09 00:00:00,1481160695.0
2016-09-10 00:00:00,1414744284.0
2016-09-11 00:00:00,1379622526.0
2016-09-12 00:00:00,1537038867.0
2016-09-13 00:00:00,1444020512.0
2016-09-14 00:00:00,1385767978.0
2016-09-15 00:00:00,1394814280.0
2016-09-16 00:00:00,1349437910.0
2016-09-17 00:00:00,1357536733.0
2016-09-18 00:00:00,1374821507.0
2016-09-19 00:00:00,1586144248.0
2016-09-20 00:00:00,1643333587.0
2016-09-21 00:00:00,1645700579.0
2016-09-22 00:00:00,1549616917.0
2016-09-23 00:00:00,1698206533.0
2016-09-24 00:00:00,1493288376.0
2016-09-25 00:00:00,1317184148.0
2016-09-26 00:00:00,1654181134.0
2016-09-27 00:00:00,1521543053.0
2016-09-28 00:00:00,1482612337.0
2016-09-29 00:00:00,1454562321.0
2016-09-30 00:00:00,1703496289.0
2016-10-01 00:00:00,1879378053.0
2016-10-02 00:00:00,1780015054.0
2016-10-03 00:00:00,1813639880.0
2016-10-04 00:00:00,1812960714.0
2016-10-05 00:00:00,1800000669.0
2016-10-06 00:00:00,2054386929.0
2016-10-07 00:00:00,2047512098.0
2016-10-08 00:00:00,2084984125.0
2016-10-09 00:00:00,2078915135.0
2016-10-10 00:00:00,2329149466.0
2016-10-11 00:00:00,2358112167.0
2016-10-12 00:00:00,2264971961.0
2016-10-13 00:00:00,2319992337.0
2016-10-14 00:00:00,2266506037.0
2016-10-15 00:00:00,2277867749.0
