Simulation Year,Causal Reliability,Fleet 0 V2G,Fleet 0 Uni,Non Causal Reliability
2013,94.08513685585147,95.64599768869454,100.0,95.92994255354256
2014,99.97057072652272,99.7108163302091,100.0,100.0
