Year,Month,Day,Hour,,,Ro
2013,1,10,3, , ,0.361225697569141
2013,1,10,4, , ,0.25935690529959293
2013,1,10,5, , ,0.7119016922800288
2013,1,10,6, , ,1.060584831965288
2013,1,10,7, , ,1.1753336411987458
2013,1,10,8, , ,0.9606748010637263
2013,1,10,9, , ,0.5006845583259669
2013,1,10,10, , ,0.11237883072774695
2013,1,10,11, , ,0.5348579276494555
2013,1,10,12, , ,0.9064530260328888
2013,1,10,13, , ,1.0791204765570344
2013,1,10,14, , ,0.997254281845582
2013,1,10,15, , ,0.6598742874944333
2013,1,10,16, , ,0.23584953082864699
2013,1,10,17, , ,0.4714318771295021
2013,1,10,18, , ,0.8768563781783889
2013,1,10,19, , ,1.101639690183434
2013,1,10,20, , ,1.0483478449092019
2013,1,10,21, , ,0.7014022276119969
2013,1,10,22, , ,0.20946838916165345
2013,1,10,23, , ,0.3769031971418089
2013,1,11,0, , ,0.8506638873898753
2013,1,11,1, , ,1.1458622000858378
2013,1,11,2, , ,1.18032921145655
2013,1,11,3, , ,0.8743969869535084
2013,1,11,4, , ,0.42196685044768656
2013,1,11,5, , ,0.3412345490908689
2013,1,11,6, , ,0.7744546975910943
2013,1,11,7, , ,1.1011271786721797
2013,1,11,8, , ,1.1511915795187782
2013,1,11,9, , ,0.8690691115648085
2013,1,11,10, , ,0.4263425962430693
2013,1,11,11, , ,0.225656823197025
2013,1,11,12, , ,0.7034202245474598
2013,1,11,13, , ,1.0738809018084496
2013,1,11,14, , ,1.2135934940625204
2013,1,11,15, , ,1.0592950638687701
2013,1,11,16, , ,0.6272838297520885
2013,1,11,17, , ,0.24916261040000093
2013,1,11,18, , ,0.6807121532334023
2013,1,11,19, , ,1.1459446981659154
2013,1,11,20, , ,1.3732742412872678
2013,1,11,21, , ,1.1617960368014826
2013,1,11,22, , ,0.7506503944081243
2013,1,11,23, , ,0.24613005702963578
2013,1,12,0, , ,0.42544096264439507
2013,1,12,1, , ,0.884771790494816
2013,1,12,2, , ,1.141601162726239
2013,1,12,3, , ,1.1103333492764116
2013,1,12,4, , ,0.7725730143783556
2013,1,12,5, , ,0.277937047941708
2013,1,12,6, , ,0.4856871666834107
2013,1,12,7, , ,0.9865587237062599
2013,1,12,8, , ,1.2948899862735206
2013,1,12,9, , ,1.2307867594460145
2013,1,12,10, , ,0.8660554584283816
2013,1,12,11, , ,0.36753505375699425
2013,1,12,12, , ,0.3907083537968702
2013,1,12,13, , ,0.916746448757554
2013,1,12,14, , ,1.2902624340781312
2013,1,12,15, , ,1.3817743456417648
2013,1,12,16, , ,1.1111013165494865
2013,1,12,17, , ,0.6124647015789553
2013,1,12,18, , ,0.25663204268645745
2013,1,12,19, , ,0.7214430317630712
2013,1,12,20, , ,1.153137120856446
2013,1,12,21, , ,1.297111456716217
2013,1,12,22, , ,1.0622433753122946
2013,1,12,23, , ,0.6127291664792246
2013,1,13,0, , ,0.20220040269807263
2013,1,13,1, , ,0.6395139249468551
2013,1,13,2, , ,1.0786445606541128
2013,1,13,3, , ,1.2788921784192508
2013,1,13,4, , ,1.1422522404442756
2013,1,13,5, , ,0.7033207204930367
2013,1,13,6, , ,0.27561025558703944
2013,1,13,7, , ,0.6510798906609364
2013,1,13,8, , ,1.124499904105054
2013,1,13,9, , ,1.3584171592326841
2013,1,13,10, , ,1.1906721364049775
2013,1,13,11, , ,0.7790931151910305
2013,1,13,12, , ,0.250337782950472
2013,1,13,13, , ,0.47149232360662935
2013,1,13,14, , ,0.9954507190526979
2013,1,13,15, , ,1.3268044645668193
2013,1,13,16, , ,1.362653675392946
2013,1,13,17, , ,1.013163353878223
2013,1,13,18, , ,0.5080512063226764
2013,1,13,19, , ,0.3925022434495485
2013,1,13,20, , ,0.8491908579284311
2013,1,13,21, , ,1.2060369727707887
2013,1,13,22, , ,1.263128270979213
2013,1,13,23, , ,0.9610374779806283
2013,1,14,0, , ,0.459373512448349
2013,1,14,1, , ,0.22284749484202246
2013,1,14,2, , ,0.7787747318537246
2013,1,14,3, , ,1.1926546386054178
2013,1,14,4, , ,1.3305912907746864
2013,1,14,5, , ,1.0623733952112764
2013,1,14,6, , ,0.5996107517125747
2013,1,14,7, , ,0.3371246278702072
2013,1,14,8, , ,0.7534892293980422
2013,1,14,9, , ,1.1385262938420304
2013,1,14,10, , ,1.259176406669103
2013,1,14,11, , ,1.03597788481727
2013,1,14,12, , ,0.5709089402115521
2013,1,14,13, , ,0.15749603760745584
2013,1,14,14, , ,0.7306305950472692
2013,1,14,15, , ,1.2519209806604454
2013,1,14,16, , ,1.508054800795545
2013,1,14,17, , ,1.362177776073711
2013,1,14,18, , ,0.977516307761611
2013,1,14,19, , ,0.4719629338554029
