Latitude,Longitude,Load Factor
48.6217,-9.0304,0.5714071731943278
48.6217,-8.6222,0.5669666845316135
48.6217,-8.2141,0.5598968849051917
48.6217,-7.8059,0.5534948797366114
48.8915,-9.0655,0.5771995026811734
48.8915,-8.6552,0.5704908613776575
48.8915,-8.2448,0.5640145116243032
48.8915,-7.8345,0.5614967013585422
48.8915,-7.4241,0.5548712812405384
48.8915,-7.0138,0.5539197094143065
49.1613,-9.1012,0.5783074031034132
49.1613,-8.6886,0.5737349343992577
49.1613,-8.2761,0.5663326547647292
49.1613,-7.8635,0.564438904757295
49.1613,-7.4509,0.563162090957442
49.1613,-7.0383,0.5605391099237024
49.1613,-6.6258,0.5581890620100041
49.1613,-6.2132,0.554595449342456
49.4311,-8.7226,0.5801161368616872
49.4311,-8.3078,0.5751378646817511
49.4311,-7.8929,0.5702709229000478
49.4311,-7.4781,0.5676667412234105
49.4311,-7.0632,0.5645819193795075
49.4311,-6.6484,0.5646620821514738
49.4311,-6.2336,0.5604723987401175
49.4311,-5.8187,0.555401762270962
49.4311,-5.4039,0.5511069306686536
49.4311,-4.989,0.5466708179566817
49.4311,-4.5742,0.5472479479537907
49.7009,-8.34,0.5796450719109244
49.7009,-7.9228,0.5771713365842982
49.7009,-7.5057,0.5706645876448388
49.7009,-7.0885,0.5682868819640859
49.7009,-6.6714,0.5683261593266392
49.7009,-6.2543,0.5667126405951253
49.7009,-5.8371,0.560338009009477
49.7009,-5.42,0.5530886296616001
49.7009,-5.0028,0.5485614825905153
49.7009,-4.5857,0.5492034299340266
49.7009,-4.1686,0.5481424219228791
49.7009,-3.7514,0.5470576777400324
49.7009,-3.3343,0.5476920116864253
49.9707,-8.3726,0.5840760634977123
49.9707,-7.9532,0.5793733065179008
49.9707,-7.5337,0.5755740264245037
49.9707,-7.1142,0.5722626863867383
49.9707,-6.6947,0.5734078733063058
49.9707,-5.8558,0.5615917462433517
49.9707,-5.4363,0.5390377119545371
49.9707,-5.0168,0.5250410578179728
49.9707,-4.5974,0.5405733073281564
49.9707,-4.1779,0.5494430731408942
49.9707,-3.7584,0.542998719816748
49.9707,-3.3389,0.5455763457724909
49.9707,-2.9195,0.5502241211122009
50.2405,-7.984,0.5842526147228466
50.2405,-7.5621,0.5757559545039047
50.2405,-7.1403,0.5744391363424508
50.2405,-6.7184,0.5750481709859376
50.2405,-6.2966,0.5686924286500139
50.2405,-5.8747,0.5527474423760331
50.2405,-4.6092,0.47439004421022013
50.2405,-4.1874,0.49917254824566337
50.2405,-3.3437,0.5165496451938382
50.2405,-2.9218,0.5406519570757523
50.2405,-2.5,0.5461026478344304
50.2405,-2.0782,0.5487369360082031
50.2405,-1.6563,0.5472523973642287
50.2405,-1.2345,0.5431551453748956
50.2405,-0.8126,0.5395231827089153
50.2405,-0.3908,0.5345965180793659
50.2405,0.0311,0.529951895534578
50.5103,-7.591,0.5775569678614009
50.5103,-7.1667,0.5757893306967199
50.5103,-6.7425,0.5746455148314589
