Latitude,Longitude,Load Factor
50.0,1.875,0.38107082484925775
50.5,-5.0,0.5711293700884417
50.5,-4.375,0.5156656103173639
50.5,-3.75,0.4851126138663322
50.5,1.875,0.4247109579097911
51.0,-3.75,0.4662460882565032
51.0,-3.125,0.436167729106376
51.0,-2.5,0.4226386338964454
51.0,-1.875,0.42681985124313165
51.0,-1.25,0.43170284160332173
51.0,-0.625,0.43760602003931237
51.0,-5.920304394294029e-13,0.45484308775556653
51.0,0.625,0.48153213250444293
51.5,-3.125,0.4318172036196089
51.5,-2.5,0.4087818378566944
51.5,-1.875,0.40466153029780494
51.5,-1.25,0.4085378797539521
51.5,-0.625,0.40415634209634205
51.5,-5.920304394294029e-13,0.41301431021124535
52.0,-5.0,0.5384842167475814
52.0,-4.375,0.4797810563948275
52.0,-3.75,0.4296524269002153
52.0,-3.125,0.4019177852541575
52.0,-2.5,0.3910164116607648
52.0,-1.875,0.398341921774761
52.0,-1.25,0.40578220381998903
52.0,-0.625,0.4068116622008697
52.0,-5.920304394294029e-13,0.40872059666434046
52.0,0.625,0.42061485282947836
52.0,1.25,0.4593864533581407
52.5,-6.875,0.4503419430522138
52.5,-3.75,0.3836664735211866
52.5,-3.125,0.405669486099156
52.5,-2.5,0.38992808857463196
52.5,-1.875,0.394430367380499
52.5,-1.25,0.40407133084675545
52.5,-0.625,0.40866013247754784
52.5,-5.920304394294029e-13,0.4092510550979658
52.5,0.625,0.4170179991082705
52.5,1.25,0.4389549459675387
53.0,-6.875,0.44508198103714186
53.0,-6.25,0.48825976718377023
53.0,-4.375,0.49861766679176334
53.0,-3.75,0.2980897244059676
53.0,-3.125,0.35757108044724917
53.0,-2.5,0.3874861806680925
53.0,-1.875,0.4038535824372244
53.0,-1.25,0.41349886166061117
53.0,-0.625,0.4144409059129226
53.0,-5.920304394294029e-13,0.4347166979027685
53.5,-6.875,0.4506004442293854
53.5,-6.25,0.4929207069340809
53.5,-2.5,0.4203281606774189
53.5,-1.875,0.4214868402840807
53.5,-1.25,0.4245971930360834
53.5,-0.625,0.41565556893410915
53.5,-5.920304394294029e-13,0.4764099736539209
54.0,-6.875,0.44343464514590086
54.0,-6.25,0.4791759048041939
54.0,-2.5,0.4390435177048866
54.0,-1.875,0.43493420217392087
54.0,-1.25,0.4199842407435919
54.0,-0.625,0.4421546523209286
54.5,-6.875,0.44518518665164747
54.5,-6.25,0.46750403148595754
54.5,-5.625,0.5192708813057321
54.5,-3.125,0.47713368454922495
54.5,-2.5,0.4450946809077415
54.5,-1.875,0.45089277707855147
54.5,-1.25,0.4621631121960645
55.0,-6.875,0.5217284975947453
55.0,-6.25,0.5309854643340483
55.0,-5.0,0.5478693418288767
55.0,-4.375,0.517929102765581
55.0,-3.75,0.47522120155207304
55.0,-3.125,0.44295505210280367
55.0,-2.5,0.4510504219197935
55.0,-1.875,0.4725199747633688
55.5,-5.625,0.5712627457017295
55.5,-4.375,0.4796001412665762
55.5,-3.75,0.4616514356440413
55.5,-3.125,0.4619642342905133
55.5,-2.5,0.46459391011772083
55.5,-1.875,0.5026620962166216
56.0,-5.0,0.46549649191191866
56.0,-4.375,0.4308569587723782
56.0,-3.75,0.4384356861642425
56.5,-6.875,0.6180122746434216
56.5,-5.0,0.412644340232583
56.5,-4.375,0.4053856427057794
56.5,-3.75,0.40039071992331965
56.5,-3.125,0.41784084492219004
57.0,-6.25,0.5463782319421288
57.0,-5.625,0.45832288334970933
57.0,-5.0,0.41531568308482325
57.0,-4.375,0.42555534636416725
57.0,-3.75,0.437939841810995
57.0,-3.125,0.44231168145640837
57.0,-2.5,0.4663671369121514
57.5,-6.25,0.5676745496859112
57.5,-5.625,0.4970484097636183
57.5,-5.0,0.4443195163297603
57.5,-3.75,0.46325224758316663
57.5,-3.125,0.4820420897154703
57.5,-2.5,0.5025046146353204
57.5,-1.875,0.5396089879172282
58.0,-6.875,0.640784398513728
58.0,-5.0,0.5060161904547616
58.0,-4.375,0.4752422582685671
58.5,-6.25,0.6315952506053808
58.5,-5.0,0.5765010156252827
58.5,-4.375,0.5659443127795761
58.5,-3.75,0.5816701826109317
