Latitude,Longitude,Load Factor
50.0,1.875,0.23733902007566735
50.5,-5.0,0.42257404728562475
50.5,-4.375,0.3546277139280087
50.5,-3.75,0.32371588109308946
50.5,1.875,0.2713463904325855
51.0,-3.75,0.3045653011372083
51.0,-3.125,0.27812791937274084
51.0,-2.5,0.26571430248219163
51.0,-1.875,0.2693077514158548
51.0,-1.25,0.27550849150365836
51.0,-0.625,0.281541752877229
51.0,-5.920304394294029e-13,0.2964433883976523
51.0,0.625,0.3226026810227057
51.5,-3.125,0.2771453873128349
51.5,-2.5,0.25726583256357066
51.5,-1.875,0.25241904503356205
51.5,-1.25,0.25678363736034454
51.5,-0.625,0.25412467112313863
51.5,-5.920304394294029e-13,0.26083649042574014
52.0,-5.0,0.38104403283241395
52.0,-4.375,0.3169035729363206
52.0,-3.75,0.27466743846403385
52.0,-3.125,0.2548883596110974
52.0,-2.5,0.244069479560524
52.0,-1.875,0.24788808592676542
52.0,-1.25,0.25395791435632675
52.0,-0.625,0.25519182347331637
52.0,-5.920304394294029e-13,0.2560460998368067
52.0,0.625,0.26425250084091745
52.0,1.25,0.2968573546460541
52.5,-6.875,0.29422229168568614
52.5,-3.75,0.24180765407535046
52.5,-3.125,0.2583118148519808
52.5,-2.5,0.24271104603440616
52.5,-1.875,0.2446092383993756
52.5,-1.25,0.2516831979367544
52.5,-0.625,0.25547803784608614
52.5,-5.920304394294029e-13,0.25579017362196915
52.5,0.625,0.2602392127163063
52.5,1.25,0.2764398838266641
53.0,-6.875,0.29068029217866226
53.0,-6.25,0.32963546967164625
53.0,-4.375,0.348687040616758
53.0,-3.75,0.17776673591335232
53.0,-3.125,0.21978838383070895
53.0,-2.5,0.23957940768943736
53.0,-1.875,0.25104688174507783
53.0,-1.25,0.2587364167344957
53.0,-0.625,0.25894897290206814
53.0,-5.920304394294029e-13,0.2739440530831616
53.5,-6.875,0.2926141272563336
53.5,-6.25,0.3327605605326087
53.5,-2.5,0.2642672819479419
53.5,-1.875,0.26557455293124244
53.5,-1.25,0.26769955117680916
53.5,-0.625,0.2586819792017081
53.5,-5.920304394294029e-13,0.3079076580632471
54.0,-6.875,0.28573719810694537
54.0,-6.25,0.3166054395635166
54.0,-2.5,0.28067786712106163
54.0,-1.875,0.2790589361306957
54.0,-1.25,0.26439893860233227
54.0,-0.625,0.2785086300964018
54.5,-6.875,0.28682730328964096
54.5,-6.25,0.3037788112038614
54.5,-5.625,0.3532327256835064
54.5,-3.125,0.31851665048472017
54.5,-2.5,0.28998566572153545
54.5,-1.875,0.294393404575598
54.5,-1.25,0.29909545245318936
55.0,-6.875,0.3543784927912516
55.0,-6.25,0.3637703661468327
55.0,-5.0,0.3854788055022111
55.0,-4.375,0.3551028864316421
55.0,-3.75,0.31663233425077963
55.0,-3.125,0.28998634328352396
55.0,-2.5,0.29703462386113005
55.0,-1.875,0.31076233118913626
55.5,-5.625,0.41431230925954665
55.5,-4.375,0.31841567433648144
55.5,-3.75,0.3046606837702309
55.5,-3.125,0.30701858750554895
55.5,-2.5,0.3073849250712837
55.5,-1.875,0.3395031568446244
56.0,-5.0,0.309901257681158
56.0,-4.375,0.2829998582056245
56.0,-3.75,0.2900730309522514
56.5,-6.875,0.4693402265388955
56.5,-5.0,0.2692859027243097
56.5,-4.375,0.2652157239028512
56.5,-3.75,0.2605013328219678
56.5,-3.125,0.27135189960396927
57.0,-6.25,0.39141513051209254
57.0,-5.625,0.30946203189397353
57.0,-5.0,0.274785429833087
57.0,-4.375,0.28572031448942115
57.0,-3.75,0.29326317947154673
57.0,-3.125,0.29252550379821274
57.0,-2.5,0.30902974974306885
57.5,-6.25,0.4151025213954802
57.5,-5.625,0.3467167607544912
57.5,-5.0,0.30223712952183357
57.5,-3.75,0.31282948415263545
57.5,-3.125,0.3215842104844875
57.5,-2.5,0.3368353541291189
57.5,-1.875,0.375328639427462
58.0,-6.875,0.4962443709497215
58.0,-5.0,0.35265354139570404
58.0,-4.375,0.3243917869712474
58.5,-6.25,0.4881123192659711
58.5,-5.0,0.42149848332513656
58.5,-4.375,0.40551980945272864
58.5,-3.75,0.4227714598847085
